         14432750 function calls (14431878 primitive calls) in 13.353 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.011    0.011    0.095    0.095 __init__.py:25(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        2    0.000    0.000    0.000    0.000 __init__.py:257(load)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        2    0.000    0.000    0.000    0.000 __init__.py:293(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.001    0.001    0.003    0.003 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:44(<module>)
        1    0.012    0.012    0.027    0.027 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:50(MissingModule)
        1    0.001    0.001    0.027    0.027 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:9(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:49(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:499(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:336(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:162(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:445(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
        1    0.000    0.000    0.080    0.080 _numpysurfarray.py:45(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        5    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.046    0.046 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.001    0.001 aientitycontroller.py:1(<module>)
       10    0.000    0.000    0.000    0.000 aientitycontroller.py:11(set_target_entity)
      656    0.006    0.000    0.109    0.000 aientitycontroller.py:14(update)
        1    0.000    0.000    0.000    0.000 aientitycontroller.py:4(AIEntityController)
       10    0.000    0.000    0.000    0.000 aientitycontroller.py:5(__init__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:699(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:743(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 automaticfirearm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 automaticfirearm.py:3(AutomaticFirearm)
      329    0.001    0.000    0.374    0.001 automaticfirearm.py:30(update)
        5    0.000    0.000    0.000    0.000 automaticfirearm.py:4(__init__)
        1    0.000    0.000    0.000    0.000 bomb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bomb.py:6(Bomb)
     3618    0.005    0.000    5.175    0.001 bomb.py:64(update)
       18    0.000    0.000    0.000    0.000 bomb.py:7(__init__)
        1    0.000    0.000    0.000    0.000 bullet.py:1(<module>)
      327    0.000    0.000    0.000    0.000 bullet.py:11(get_description)
        2    0.000    0.000    0.000    0.000 bullet.py:14(_calculate_knockback)
        1    0.000    0.000    0.000    0.000 bullet.py:4(Bullet)
      622    0.001    0.000    0.007    0.000 bullet.py:5(__init__)
        1    0.000    0.000    0.000    0.000 camera.py:1(<module>)
        1    0.000    0.000    0.000    0.000 camera.py:10(set_target)
        4    0.000    0.000    0.000    0.000 camera.py:13(set_state)
    55755    0.040    0.000    0.050    0.000 camera.py:18(apply)
      329    0.002    0.000    0.002    0.000 camera.py:21(update)
        1    0.000    0.000    0.000    0.000 camera.py:3(Camera)
        1    0.000    0.000    0.000    0.000 camera.py:4(__init__)
       50    0.000    0.000    0.000    0.000 camera.py:8(get_target)
        1    0.010    0.010    0.011    0.011 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 character.py:1(<module>)
      656    0.001    0.000    0.002    0.000 character.py:110(get_health)
      656    0.001    0.000    0.001    0.000 character.py:112(get_max_health)
      656    0.001    0.000    0.001    0.000 character.py:114(get_name)
       11    0.000    0.000    0.000    0.000 character.py:116(set_name)
      656    0.001    0.000    0.002    0.000 character.py:118(get_weapon_str)
       10    0.000    0.000    0.000    0.000 character.py:125(set_status_display)
      657    0.002    0.000    0.004    0.000 character.py:142(_update_status_display_rect)
       10    0.000    0.000    0.000    0.000 character.py:171(set_hostile)
      656    0.000    0.000    0.000    0.000 character.py:176(get_weapon)
       85    0.000    0.000    0.000    0.000 character.py:180(jump)
      491    0.148    0.000    0.478    0.001 character.py:188(walk)
        8    0.000    0.000    0.000    0.000 character.py:210(begin_attacking_with_weapon)
        8    0.000    0.000    0.000    0.000 character.py:213(end_attacking_with_weapon)
       12    0.002    0.000    0.004    0.000 character.py:219(attack)
        2    0.000    0.000    0.000    0.000 character.py:228(was_attacked)
        3    0.000    0.000    0.001    0.000 character.py:233(find_weapon)
        1    0.000    0.000    0.000    0.000 character.py:240(pick_up_weapon)
      657    0.002    0.000    0.003    0.000 character.py:266(_update_weapon_rect)
      657    0.006    0.000    1.830    0.003 character.py:283(update)
     1314    0.009    0.000    0.020    0.000 character.py:303(update_image)
        1    0.000    0.000    0.000    0.000 character.py:31(Character)
       11    0.000    0.000    0.000    0.000 character.py:32(__init__)
      491    0.003    0.000    0.004    0.000 character.py:352(_calculate_horizontal_acceleration)
        1    0.000    0.000    0.000    0.000 character.py:70(set_jump_acceleration)
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        4    0.001    0.000    0.002    0.000 collections.py:288(namedtuple)
      145    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       21    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
       21    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
        4    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        4    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1032(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:128(MAError)
        1    0.000    0.000    0.000    0.000 core.py:131(MaskError)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2250(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2255(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2399(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2441(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2469(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5564(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:5761(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5767(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5770(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5871(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5926(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5928(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5938(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5940(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5982(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5997(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7187(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:729(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:737(__init__)
        1    0.000    0.000    0.000    0.000 core.py:751(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:757(__init__)
        1    0.000    0.000    0.000    0.000 core.py:767(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:769(__init__)
        1    0.000    0.000    0.000    0.000 core.py:782(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:784(__init__)
        1    0.000    0.000    0.000    0.000 core.py:794(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:796(__init__)
        1    0.000    0.000    0.000    0.000 core.py:805(_MaskedUnaryOperation)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        1    0.000    0.000    0.000    0.000 core.py:883(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:158(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.003    0.003    0.005    0.005 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:32(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:17(_floatconstants)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:274(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:304(__init__)
        2    0.000    0.000    0.000    0.000 decoder.py:361(decode)
        2    0.000    0.000    0.000    0.000 decoder.py:372(raw_decode)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1670(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:764(Differ)
        1    0.000    0.000    0.000    0.000 encoder.py:101(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:70(JSONEncoder)
        1    0.000    0.000    0.000    0.000 entity.py:1(<module>)
        4    0.000    0.000    0.000    0.000 entity.py:105(was_attacked)
    56803    0.117    0.000    1.514    0.000 entity.py:110(update)
    52193    0.097    0.000    0.217    0.000 entity.py:120(update_image)
        1    0.000    0.000    0.000    0.000 entity.py:137(Location)
    59166    0.041    0.000    0.041    0.000 entity.py:145(get_location)
  1964451    2.183    0.000    2.497    0.000 entity.py:157(get_touching)
        1    0.000    0.000    0.000    0.000 entity.py:17(EntityController)
        1    0.000    0.000    0.000    0.000 entity.py:21(Entity)
      912    0.004    0.000    0.005    0.000 entity.py:22(__init__)
        1    0.000    0.000    0.000    0.000 entity.py:5(Direction)
       42    0.000    0.000    0.000    0.000 entity.py:51(set_anchor_points)
       11    0.000    0.000    0.000    0.000 entity.py:60(set_controller)
      501    0.000    0.000    0.000    0.000 entity.py:66(set_delegate)
  5670674    1.044    0.000    1.044    0.000 entity.py:70(is_physical)
       51    0.000    0.000    0.000    0.000 entity.py:72(set_physical)
     1375    0.001    0.000    0.001    0.000 entity.py:79(set_direction)
        4    0.000    0.000    0.000    0.000 entity.py:85(set_pass_through_entities)
        1    0.000    0.000    0.000    0.000 entity.py:9(EntityDelegate)
        4    0.000    0.000    0.000    0.000 entity.py:91(set_friendly_entities)
  2848371    2.660    0.000    3.704    0.000 entity.py:95(_can_collide_with_entity)
        1    0.000    0.000    0.000    0.000 entityspawner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entityspawner.py:10(EntitySpawner)
        4    0.000    0.000    0.000    0.000 entityspawner.py:11(__init__)
        4    0.000    0.000    0.000    0.000 entityspawner.py:26(set_entities)
        4    0.000    0.000    0.000    0.000 entityspawner.py:30(get_cooldown)
        1    0.000    0.000    0.000    0.000 entityspawner.py:4(EntitySpawnerDataSource)
     1320    0.003    0.000    0.007    0.000 entityspawner.py:41(update)
     1320    0.001    0.000    0.001    0.000 entityspawner.py:56(update_image)
        1    0.000    0.000    0.000    0.000 explosion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 explosion.py:3(Explosion)
        1    0.000    0.000    0.000    0.000 explosivebullet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 explosivebullet.py:4(ExplosiveBullet)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1419(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1431(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1485(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1501(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:224(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 firearm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 firearm.py:13(Firearm)
       13    0.000    0.000    0.000    0.000 firearm.py:14(__init__)
      327    0.001    0.000    0.001    0.000 firearm.py:23(get_description)
       13    0.000    0.000    0.000    0.000 firearm.py:36(set_magazine)
        8    0.000    0.000    0.000    0.000 firearm.py:46(begin_attacking)
        8    0.000    0.000    0.000    0.000 firearm.py:55(end_attacking)
        4    0.000    0.000    0.000    0.000 firearm.py:58(_fire)
     1643    0.003    0.000    1.711    0.001 firearm.py:97(update)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        2    0.001    0.000    0.001    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1405(vectorize)
      273    0.004    0.000    0.005    0.000 function_base.py:2945(add_newdoc)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.001    0.001    0.097    0.097 game.py:1(<module>)
        1    0.000    0.000    0.000    0.000 game.py:13(Positioning)
      330    0.041    0.000   13.002    0.039 game.py:134(update_game)
        1    0.000    0.000    0.000    0.000 game.py:17(Game)
     7725    0.002    0.000    0.002    0.000 game.py:173(get_all_entities)
      501    0.001    0.000    0.004    0.000 game.py:176(spawn_entity)
        1    0.000    0.000    0.134    0.134 game.py:18(__init__)
        1    0.000    0.000    0.000    0.000 game.py:180(spawn_entity_absolute)
        3    0.000    0.000    0.000    0.000 game.py:183(despawn_entity)
       49    0.000    0.000    0.000    0.000 game.py:42(notify)
        1    0.000    0.000    0.000    0.000 game.py:61(get_notification_names)
        1    0.000    0.000    0.000    0.000 game.py:72(set_camera)
       50    0.000    0.000    0.000    0.000 game.py:76(get_main_entity)
        1    0.000    0.000    0.000    0.000 game.py:78(set_main_entity)
       58    0.000    0.000    0.000    0.000 game.py:83(get_enemies)
       72    0.000    0.000    0.000    0.000 game.py:89(get_defend_points)
        1    0.008    0.008   13.100   13.100 game.py:99(run)
     1324    0.002    0.000    0.013    0.000 genericpath.py:15(exists)
      106    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
       84    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.003    0.003    0.003    0.003 hermite.py:59(<module>)
        1    0.003    0.003    0.004    0.004 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hex_codec.py:27(hex_decode)
        1    0.000    0.000    0.000    0.000 hex_codec.py:45(Codec)
        1    0.000    0.000    0.000    0.000 hex_codec.py:52(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 hex_codec.py:57(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 hex_codec.py:62(StreamWriter)
        1    0.000    0.000    0.000    0.000 hex_codec.py:65(StreamReader)
        1    0.000    0.000    0.000    0.000 hex_codec.py:70(getregentry)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
        1    0.000    0.000    0.002    0.002 index_tricks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:145(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:213(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:231(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:340(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:434(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:439(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:456(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:461(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:510(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:584(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:627(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:85(nd_grid)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.000    0.000 io.py:72(RawIOBase)
        1    0.000    0.000    0.000    0.000 io.py:75(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 io.py:78(TextIOBase)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.003    0.003    0.003    0.003 laguerre.py:59(<module>)
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
        1    0.000    0.000    0.004    0.004 levelreader.py:1(<module>)
       14    0.000    0.000    0.000    0.000 levelreader.py:106(_create_wood)
      100    0.000    0.000    0.001    0.000 levelreader.py:113(_create_ground)
       28    0.000    0.000    0.000    0.000 levelreader.py:119(_create_roof)
      622    0.001    0.000    0.009    0.000 levelreader.py:125(_create_30_cal)
       58    0.000    0.000    0.001    0.000 levelreader.py:130(_create_buckshot)
        5    0.000    0.000    0.001    0.000 levelreader.py:135(_create_870)
        3    0.000    0.000    0.002    0.001 levelreader.py:154(_create_m1911)
